varSource,DAM_NAME,varMaterial,sintYearCommissioned,decCrestElevation,decCrestLength,decHeight,decCapacity,LATITUDE_DD,LONGITUDE_DD,,,OWNERSHIP,Maj_Upgrad,Structure,Start Construction,Turbine Generations ,Spillways,Intake Gates,Powerhouse length (m),
ODI ,,,,,,,,42.8268051,-81.8326427,,,Conservation Authority,,,,,,,,
ODI ,,,,,,,,42.698013,-82.4808,,,Conservation Authority,,,,,,,,
ODI ,,,,,,,,42.8867719,-80.658252,,,Private,,,,,,,,
ODI ,,,,,,,,42.736331,-80.5923819,,,Private,,,,,,,,
ODI ,Sheldrake Lake Dam,,,,,,,44.8222615,-77.2598088,,,Provincial,,,,,,,,
ODI ,St. Ola Lake Secondary Dam,,,,,,,44.8570013,-77.6029859,,,Provincial,,,,,,,,
ODI ,Biscotasi Lake Dam No.1,,,,,,,47.294829,-81.9990001,,,Private,,,,,,,,
ODI ,Wye Marsh Wildlife Area Dam,,,,,,,44.731736,-79.8465029,,,Provincial,,,,,,,,
ODI ,Gooseneck Lake Dam,,,,,,,45.6786767,-80.0322198,,,Provincial,,,,,,,,
ODI ,Harris Lake Dam (Spillway #2),,,,,,,45.6879327,-80.4031812,,,Provincial,,,,,,,,
ODI ,Ramsey Lake Dam No.8,,,,,,,47.1841175,-82.1684501,,,Private,,,,,,,,
ODI ,Tasso Lake Dam,,,,,,,45.4829421,-78.9412873,,,Provincial,,,,,,,,
ODI ,Hangingstone Lake Dam,,,,,,,47.5872192,-80.7995477,,,Provincial,,,,,,,,
ODI ,Raven Ward Lake Dam,,,,,,,48.0203907,-79.5787115,,,Provincial,,,,,,,,
ODI ,Ramsey Lake Dam No.7,,,,,,,47.1894987,-82.1863024,,,Private,,,,,,,,
ODI ,Bannerman Dam,,,,,,,46.8507114,-81.5916014,,,Private,,,,,,,,
ODI ,Panache Lake Dam,,,,,,,46.2066308,-81.5109825,,,Provincial,,,,,,,,
ODI ,Three Narrows South Dam,,,,,,,46.0637545,-81.4806608,,,Provincial,,,,,,,,
